data;curs;cdx
20.03.2022;57,9173;Турецкая лира
19.03.2022;57,9173;Турецкая лира
18.03.2022;57,9173;Турецкая лира
17.03.2022;57,9173;Турецкая лира
16.03.2022;57,9173;Турецкая лира
15.03.2022;57,9173;Турецкая лира
14.03.2022;57,9173;Турецкая лира
13.03.2022;57,9173;Турецкая лира
12.03.2022;57,9173;Турецкая лира
11.03.2022;57,9173;Турецкая лира
10.03.2022;57,9173;Турецкая лира
09.03.2022;57,9173;Турецкая лира
08.03.2022;57,9173;Турецкая лира
07.03.2022;57,9173;Турецкая лира
06.03.2022;57,9173;Турецкая лира
05.03.2022;57,9173;Турецкая лира
04.03.2022;57,9173;Турецкая лира
03.03.2022;57,9173;Турецкая лира
02.03.2022;57,9173;Турецкая лира
01.03.2022;57,9174;Турецкая лира
28.02.2022;57,9174;Турецкая лира
27.02.2022;57,9173;Турецкая лира
26.02.2022;57,9171;Турецкая лира
25.02.2022;57,9171;Турецкая лира
24.02.2022;57,9173;Турецкая лира
23.02.2022;57,9175;Турецкая лира
22.02.2022;57,9181;Турецкая лира
21.02.2022;57,9174;Турецкая лира
20.02.2022;57,9163;Турецкая лира
19.02.2022;57,9161;Турецкая лира
18.02.2022;57,9170;Турецкая лира
17.02.2022;57,9185;Турецкая лира
16.02.2022;57,9188;Турецкая лира
15.02.2022;57,9223;Турецкая лира
14.02.2022;57,9130;Турецкая лира
13.02.2022;57,9082;Турецкая лира
12.02.2022;57,9149;Турецкая лира
11.02.2022;57,9236;Турецкая лира
10.02.2022;57,9289;Турецкая лира
09.02.2022;57,9209;Турецкая лира
08.02.2022;57,9465;Турецкая лира
07.02.2022;57,8477;Турецкая лира
06.02.2022;57,8752;Турецкая лира
05.02.2022;57,9615;Турецкая лира
04.02.2022;57,9848;Турецкая лира
03.02.2022;57,9660;Турецкая лира
02.02.2022;57,8646;Турецкая лира
01.02.2022;58,1259;Турецкая лира
29.01.2022;57,1556;Турецкая лира
28.01.2022;58,0681;Турецкая лира
27.01.2022;58,5657;Турецкая лира
26.01.2022;58,1480;Турецкая лира
25.01.2022;57,8343;Турецкая лира
22.01.2022;57,1544;Турецкая лира
